"key","section","title","file_candidates","caption","todo"
"stepwise_biomass","Model development","Stepwise spawning potential","stepwise_biomass.png;stepwise-spawning-potential.png","Estimated spawning potential trajectories for the main steps in model development.","Generate the stepwise spawning potential figure from the {assessment_year} model development sequence."
"stepwise_depletion","Model development","Stepwise depletion","stepwise_depletion.png;stepwise-depletion.png","Estimated dynamic spawning depletion trajectories for the main steps in model development.","Generate the stepwise depletion figure from the {assessment_year} model development sequence."
"cpue_fits","Model fit","CPUE observed and fitted","cpue-fits.png","Observed and fitted CPUE for the selected model set.","Generate report-ready CPUE fit diagnostics from the final {assessment_year} model."
"cpue_residuals","Model fit","CPUE residuals","cpue-residuals.png","Residuals for the standardised CPUE fits in the selected model set.","Generate report-ready CPUE residual diagnostics from the final {assessment_year} model."
"cpue_fit_1_5","Model fit","CPUE fits, regions 1-5","cpue_fit_1_5.png;cpue-fit-regions-1-5.png","Fits to standardised CPUE for the longline index fisheries in regions 1-5.","Generate CPUE fit diagnostics for regions 1-5."
"cpue_fit_6_9","Model fit","CPUE fits, regions 6-9","cpue_fit_6_9.png;cpue-fit-regions-6-9.png","Fits to standardised CPUE for the longline index fisheries in regions 6-9.","Generate CPUE fit diagnostics for regions 6-9."
"cpue_residuals_1_5","Model fit","CPUE residuals, regions 1-5","cpue_resids_1_5.png;cpue-residuals-regions-1-5.png","Residuals for standardised CPUE in regions 1-5.","Generate CPUE residual diagnostics for regions 1-5."
"cpue_residuals_6_9","Model fit","CPUE residuals, regions 6-9","cpue_resids_6_9.png;cpue-residuals-regions-6-9.png","Residuals for standardised CPUE in regions 6-9.","Generate CPUE residual diagnostics for regions 6-9."
"length_fit_aggregated","Model fit","Aggregated length-frequency fit","length_fit_aggregated.png;length-fit-aggregated.png;length-frequency.png","Composite observed and predicted length frequencies for fisheries with length-frequency data.","Generate aggregated length-frequency fits from the final {assessment_year} model."
"weight_fit_aggregated","Model fit","Aggregated weight-frequency fit","weight_fit_aggregated.png;weight-fit-aggregated.png;weight-frequency.png","Composite observed and predicted weight frequencies for fisheries with weight-frequency data.","Generate aggregated weight-frequency fits from the final {assessment_year} model."
"length_residuals_aggregated","Model fit","Aggregated length-frequency residuals","length-frequency-residuals.png","Composite length-frequency residual diagnostics for fisheries with length-frequency data.","Generate aggregated length-frequency residual plots from the final {assessment_year} model."
"weight_residuals_aggregated","Model fit","Aggregated weight-frequency residuals","weight-frequency-residuals.png","Composite weight-frequency residual diagnostics for fisheries with weight-frequency data.","Generate aggregated weight-frequency residual plots from the final {assessment_year} model."
"cpue_regional_share","Model fit","CPUE regional share","cpue-regional-share.png","Regional contribution of CPUE observations and fitted abundance-index information across the selected model set.","Generate CPUE regional-share diagnostics from the final {assessment_year} model."
"length_fit_timeseries","Model fit","Length-frequency fit through time","length_fit_timeseries.png;length-fit-timeseries.png","Observed and predicted length-frequency fits through time.","Generate time-series length-frequency fits from the final {assessment_year} model."
"weight_fit_timeseries","Model fit","Weight-frequency fit through time","weight_fit_timeseries.png;weight-fit-timeseries.png","Observed and predicted weight-frequency fits through time.","Generate time-series weight-frequency fits from the final {assessment_year} model."
"selectivity","Model estimates","Selectivity by fishery","selectivity.png;selectivity-by-fishery.png;select_LL_and_index_age.png;select_LL_and_index_wt.png;select_other_age.png;select_other_length.png;fishery-process.png;fishery-selectivity-length.png;fishery-selectivity-weight.png","Estimated selectivity curves by fishery or selectivity group.","Generate the final selectivity figures."
"movement","Model estimates","Movement coefficients","movement.png;movement-coefficients.png;movement_matrix_tag.png;movement_matrix_model.png;movement_model_bar_plots.png;movement_sankey.png;regional-movement.png","Estimated, assumed, or tag-informed movement among model regions.","Generate the final movement figures if movement is estimated or updated."
"recruitment_annual","Model estimates","Annual recruitment","recruitment_annual_all.png;recruitment_annual_regions.png;proportion_rec_region_qutr.png;annual-recruitment.png;recruitment-by-area.png","Estimated annual recruitment for the selected model or model set, with regional or seasonal summaries where available.","Generate annual and regional recruitment plots from the final assessment results."
"spawning_potential","Model estimates","Spawning potential","spawning_potential.png;spawning-potential.png;spawnpotential_annual_region_diag.png;spawnpot_rec_biomass_panel.png;spawning-potential-with-without-fishing.png","Estimated spawning potential through time for the selected model or model set.","Generate spawning potential trajectories from the final assessment results."
"depletion","Model estimates","Dynamic depletion","depletion.png;depletion-smoke.png;dynamic-depletion.png;depletion_annual_region_diag.png;fished_unfished_SB.png;depletion-by-area.png","Estimated dynamic spawning depletion through time for the selected model or model set.","Generate dynamic depletion trajectories from the final assessment results."
"fishing_mortality","Model estimates","Fishing mortality","fishing_mortality.png;fishing-mortality.png;juv_adult_F.png;age_specific_F.png;prop_at_age_F_by_decades.png;f-juvenile-adult-by-area.png;f-area-contribution.png","Estimated fishing mortality through time for juvenile and adult age classes or reporting groups.","Generate fishing mortality trajectories from the final assessment results."
"stock_recruitment","Model estimates","Stock-recruitment relationship","stock_RR.png;stock-recruitment.png;population-biology.png","Estimated stock-recruitment relationship used in the selected model.","Generate the stock-recruitment figure from the selected assessment results."
"biomass_with_without_fishing","Model estimates","Total biomass with and without fishing","total-biomass-with-without-fishing.png","Estimated total biomass trajectories with and without fishing for the selected model set.","Generate total biomass with/without fishing trajectories from the final assessment results."
"fishery_impact","Model estimates","Fishery impact","fish_impact_regions.png;fishery-impact.png","Estimated reduction in spawning potential due to fishing, attributed to fishery groups by model region where available.","Generate fishery impact figures from the selected assessment results."
"oneoff_sensitivities","Sensitivity analyses","One-off sensitivity trajectories","oneoff_tagmix_depletion.png;oneoff_tagmix_sb.png;oneoff_steepness_depletion.png;oneoff_steepness_sb.png;oneoff_sizedatawt_depletion.png;oneoff_sizedatawt_sb.png;oneoff_agedatawt_depletion.png;oneoff_agedatawt_sb.png","Spawning depletion and spawning potential trajectories for one-off sensitivity analyses around the selected diagnostic model.","Generate one-off sensitivity trajectory plots after sensitivity runs are complete."
"grid_depletion","Structural uncertainty","Uncertainty grid depletion","grid_depletion.png;uncertainty-grid-depletion.png;grid_deplet_ind.png;grid_deplet_ribbon.png","Dynamic depletion trajectories or summaries across the structural uncertainty grid.","Generate the structural uncertainty grid depletion figure."
"grid_spawning_potential","Structural uncertainty","Uncertainty grid spawning potential","grid_SB_ind.png;grid_SB_ribbon.png;uncertainty-grid-spawning-potential.png","Spawning potential trajectories or summaries across the structural uncertainty grid.","Generate the structural uncertainty grid spawning-potential figure."
"grid_reference_points","Structural uncertainty","Reference point uncertainty","grid_reference_points.png;reference-point-uncertainty.png;violin_grid_MSY_depletion.png;violin_rec_props_grid.png;BET.depletion.histogram.png;BET.Fmsy.histogram.png;BET.SB_SBmsy.histogram.png","Distribution of key management reference points across the structural uncertainty grid and estimation uncertainty.","Generate reference point uncertainty plots after the grid is complete."
"majuro_kobe","Stock status","Majuro and Kobe plots","majuro_kobe.png;majuro-kobe.png;bet_majuro_plot.png;bet_kobe_plot.png;majuro-plot.png;kobe-plot.png;stock-status.png","Stock status relative to management reference points for the selected uncertainty set.","Generate Majuro and Kobe plots from the final management-advice model set."
"dynamic_stock_status","Stock status","Dynamic stock-status plots","majuro_dynamic.png;kobe_dynamic.png;dynamic-majuro-kobe.png","Time-dynamic Majuro and Kobe summaries for the selected model or model set.","Generate dynamic stock-status plots from the final assessment results."
"yield","Stock status","Yield curve","yield.png;yield-curve.png","Estimated yield as a function of fishing mortality multiplier for the selected management-advice model or scenario set.","Generate yield analysis figures from the final management-advice outputs."
"dynamic_msy","Stock status","Dynamic MSY","dynamic_msy.png;dynamic-msy.png;bet_dynamic_msy.png","Dynamic MSY quantities and recent fishing mortality summaries.","Generate the dynamic MSY figure from the final management-advice outputs."
"likelihood_profiles","Additional diagnostics","Likelihood profiles","likelihoodprofile_narrow.png;likelihoodprofile_wide.png;likelihoodprofile_length.png;likelihoodprofile_weight.png;likelihoodprofile_tag.png","Likelihood profiles and component likelihood summaries used to diagnose information content and model stability.","Generate likelihood profile figures if they are used for the {assessment_year} assessment."
"retrospectives","Additional diagnostics","Retrospective analyses","retro_spawning_potential.png;retro_depletion.png;retrospective-spawning-potential.png;retrospective-depletion.png;retrospective-diagnostics.png","Retrospective spawning potential and depletion trajectories for selected peel years or retrospective settings.","Generate retrospective diagnostics if they are included in the {assessment_year} assessment."
"stock_projections","Additional diagnostics","Stock projection summaries","Det_Projection_table.png;detSquo2021_SKJ_withTRP.png;detSquo2012_SKJ_withTRP.png;detSquo2012IDPH_SKJ_withTRP.png;projection-summary.png;status-quo-projections.png","Projection summaries under selected future fishing scenarios. Replace placeholder filenames with {species_label}-specific projection outputs when available.","Generate projection summaries if projections are included in the {assessment_year} report."
